qoe_challenge_table_for_model_v2.imsi;qoe_challenge_table_for_model_v2.year;qoe_challenge_table_for_model_v2.month;qoe_challenge_table_for_model_v2.msisdn;qoe_challenge_table_for_model_v2.coupure_appel_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_coupure_appel_daily;qoe_challenge_table_for_model_v2.echec_appel_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_echec_appel_daily;qoe_challenge_table_for_model_v2.paging_without_response_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_paging_without_response_daily;qoe_challenge_table_for_model_v2.nb_call_est_daily;qoe_challenge_table_for_model_v2.reiter_call_interval_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_reiter_call_daily;qoe_challenge_table_for_model_v2.call_est_bad_setupduration_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_call_est_bad_setupduration_daily;test;msisdn_H
6,08015E+14;2022;10;20221004;1;1;1;0;3;2;1;0;0;0;0;3;1
6,08015E+14;2022;10;20221004;12;2;8;1;0;0;16;0;0;4;3;3;2
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;3
6,08015E+14;2022;10;20221004;22;4;14;3;4;1;21;3;2;6;4;3;4
6,08015E+14;2022;10;20221004;38;6;25;4;4;1;59;0;0;5;3;3;5
6,08015E+14;2022;10;20221004;4;2;2;1;0;0;3;8;5;0;0;3;6
6,08015E+14;2022;10;20221004;3;1;2;1;6;4;2;0;0;0;0;3;7
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;2;0;0;3;8
6,08015E+14;2022;10;20221004;16;6;10;4;2;1;20;1;1;0;0;3;9
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;10
6,08015E+14;2022;10;20221004;13;4;9;2;11;7;20;3;1;2;2;3;11
6,08015E+14;2022;10;20221004;12;6;8;4;0;0;7;0;0;0;0;3;12
6,08015E+14;2022;10;20221004;16;5;10;3;0;0;19;0;0;1;1;3;13
6,08015E+14;2022;10;20221004;10;4;7;3;1;1;13;1;1;0;0;3;14
6,08015E+14;2022;10;20221004;5;3;3;2;0;0;8;0;0;0;0;3;15
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;16
6,08015E+14;2022;10;20221004;5;2;3;1;1;1;8;1;1;0;0;3;17
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;18
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;19
6,08015E+14;2022;10;20221004;3;1;2;1;1;1;2;0;0;0;0;3;20
6,08015E+14;2022;10;20221004;2;1;1;1;0;0;1;1;1;0;0;3;21
6,08015E+14;2022;10;20221004;3;1;2;1;0;0;4;0;0;0;0;3;22
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;2;0;0;3;23
6,08015E+14;2022;10;20221004;6;3;4;2;0;0;4;0;0;0;0;3;24
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;25
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;26
6,08015E+14;2022;10;20221004;0;0;0;0;5;4;1;0;0;0;0;3;27
6,08015E+14;2022;10;20221004;3;1;2;1;1;1;0;0;0;0;0;3;28
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;29
6,08015E+14;2022;10;20221004;6;3;4;2;1;1;8;0;0;1;1;3;30
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;31
6,08015E+14;2022;10;20221004;2;1;1;1;2;2;0;0;0;0;0;3;32
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;3;2;0;0;3;33
6,08015E+14;2022;10;20221004;3;3;2;2;0;0;1;0;0;0;0;3;34
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;35
6,08015E+14;2022;10;20221004;3;1;2;1;0;0;0;0;0;0;0;3;36
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;37
6,08015E+14;2022;10;20221004;1;1;1;0;0;0;1;1;1;0;0;3;38
6,08015E+14;2022;10;20221004;6;0;4;0;0;0;7;0;0;0;0;3;39
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;40
6,08015E+14;2022;10;20221004;1;0;0;0;0;0;0;0;0;0;0;3;41
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;42
6,08015E+14;2022;10;20221004;4;3;2;2;4;2;4;0;0;2;2;3;43
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;44
6,08015E+14;2022;10;20221004;4;1;2;0;0;0;5;1;1;0;0;3;45
