;qoe_challenge_table_for_model_v2.nb_hour_echec_appel_daily;test;msisdn_H;msisdn;coupure;nb_hour_total_coupure;echec;paging_without_response_nb ;nb_hour_paging_without_response;nb_call_est;reiter_call_interval_nb;nb_hour_reiter_call ;call_est_bad_setupduration_nb;nb_hour_call_est_bad_setupduration
0;0;3;1;20221004;1;1;1;3;2;1;0;0;0;0
1;1;3;2;20221004;12;2;8;0;0;16;0;0;4;3
2;0;3;3;20221004;0;0;0;0;0;0;0;0;0;0
3;3;3;4;20221004;22;4;14;4;1;21;3;2;6;4
4;4;3;5;20221004;38;6;25;4;1;59;0;0;5;3
5;1;3;6;20221004;4;2;2;0;0;3;8;5;0;0
6;1;3;7;20221004;3;1;2;6;4;2;0;0;0;0
7;0;3;8;20221004;0;0;0;0;0;0;2;2;0;0
8;4;3;9;20221004;16;6;10;2;1;20;1;1;0;0
9;0;3;10;20221004;0;0;0;0;0;0;1;1;0;0
10;2;3;11;20221004;13;4;9;11;7;20;3;1;2;2
11;4;3;12;20221004;12;6;8;0;0;7;0;0;0;0
12;3;3;13;20221004;16;5;10;0;0;19;0;0;1;1
13;3;3;14;20221004;10;4;7;1;1;13;1;1;0;0
14;2;3;15;20221004;5;3;3;0;0;8;0;0;0;0
15;0;3;16;20221004;0;0;0;0;0;0;0;0;0;0
16;1;3;17;20221004;5;2;3;1;1;8;1;1;0;0
17;0;3;18;20221004;0;0;0;0;0;0;0;0;0;0
18;0;3;19;20221004;0;0;0;0;0;0;0;0;0;0
19;1;3;20;20221004;3;1;2;1;1;2;0;0;0;0
20;1;3;21;20221004;2;1;1;0;0;1;1;1;0;0
21;1;3;22;20221004;3;1;2;0;0;4;0;0;0;0
22;0;3;23;20221004;0;0;0;0;0;0;2;2;0;0
23;2;3;24;20221004;6;3;4;0;0;4;0;0;0;0
24;0;3;25;20221004;0;0;0;1;1;0;0;0;0;0
25;0;3;26;20221004;0;0;0;0;0;0;1;1;0;0
26;0;3;27;20221004;0;0;0;5;4;1;0;0;0;0
27;1;3;28;20221004;3;1;2;1;1;0;0;0;0;0
28;0;3;29;20221004;0;0;0;1;1;0;0;0;0;0
29;2;3;30;20221004;6;3;4;1;1;8;0;0;1;1
30;0;3;31;20221004;0;0;0;0;0;0;0;0;0;0
31;1;3;32;20221004;2;1;1;2;2;0;0;0;0;0
32;0;3;33;20221004;0;0;0;0;0;0;3;2;0;0
33;2;3;34;20221004;3;3;2;0;0;1;0;0;0;0
34;0;3;35;20221004;0;0;0;0;0;0;0;0;0;0
35;1;3;36;20221004;3;1;2;0;0;0;0;0;0;0
36;0;3;37;20221004;0;0;0;0;0;0;0;0;0;0
37;0;3;38;20221004;1;1;1;0;0;1;1;1;0;0
38;0;3;39;20221004;6;0;4;0;0;7;0;0;0;0
39;0;3;40;20221004;0;0;0;0;0;0;0;0;0;0
40;0;3;41;20221004;1;0;0;0;0;0;0;0;0;0
41;0;3;42;20221004;0;0;0;0;0;0;0;0;0;0
42;2;3;43;20221004;4;3;2;4;2;4;0;0;2;2
43;0;3;44;20221004;0;0;0;0;0;0;0;0;0;0
44;0;3;45;20221004;4;1;2;0;0;5;1;1;0;0
45;4;3;46;20221004;12;6;8;0;0;12;0;0;3;3
46;0;3;47;20221004;0;0;0;2;2;1;0;0;0;0
47;0;3;48;20221004;0;0;0;0;0;0;0;0;0;0
48;2;3;49;20221004;4;3;3;0;0;5;5;3;0;0
49;3;3;50;20221004;9;4;6;0;0;5;1;1;0;0
50;0;3;51;20221004;0;0;0;0;0;0;0;0;0;0
51;0;3;52;20221004;0;0;0;0;0;0;1;1;0;0
52;0;3;53;20221004;3;1;2;1;1;0;0;0;0;0
53;0;3;54;20221004;0;0;0;0;0;0;0;0;0;0
54;0;3;55;20221004;2;1;1;3;2;0;0;0;0;0
55;0;3;56;20221004;2;1;1;4;3;3;1;1;1;1
56;2;3;57;20221004;7;3;5;2;2;13;2;2;1;1
57;0;3;58;20221004;3;1;2;0;0;3;2;1;0;0
58;0;3;59;20221004;0;0;0;0;0;0;0;0;0;0
59;0;3;60;20221004;0;0;0;0;0;0;0;0;0;0
60;2;3;61;20221004;10;4;6;0;0;7;0;0;1;1
61;2;3;62;20221004;11;4;7;1;1;9;1;1;1;1
62;0;3;63;20221004;0;0;0;0;0;0;0;0;0;0
63;2;3;64;20221004;16;4;11;12;5;16;0;0;5;2
64;1;3;65;20221004;4;2;3;3;3;5;0;0;0;0
65;0;3;66;20221004;3;1;2;2;2;4;0;0;1;1
66;0;3;67;20221004;0;0;0;0;0;0;1;1;0;0
67;0;3;68;20221004;0;0;0;0;0;0;0;0;0;0
68;0;3;69;20221004;0;0;0;0;0;0;0;0;0;0
69;0;3;70;20221004;0;0;0;0;0;1;1;1;0;0
70;0;3;71;20221004;0;0;0;0;0;0;0;0;0;0
71;0;3;72;20221004;0;0;0;0;0;0;2;1;0;0
72;0;3;73;20221004;0;0;0;0;0;0;0;0;0;0
73;0;3;74;20221004;0;0;0;0;0;0;0;0;0;0
74;0;3;75;20221004;0;0;0;1;1;0;0;0;0;0
75;0;3;76;20221004;0;0;0;0;0;0;0;0;0;0
76;0;3;77;20221004;0;0;0;0;0;0;2;1;0;0
77;0;3;78;20221004;1;0;1;0;0;0;0;0;0;0
78;0;3;79;20221004;0;0;0;0;0;0;2;2;0;0
79;1;3;80;20221004;1;1;1;2;2;1;1;1;0;0
80;0;3;81;20221004;1;1;1;0;0;0;1;1;0;0
81;3;3;82;20221004;17;4;11;1;1;20;0;0;4;2
82;3;3;83;20221004;15;5;10;2;2;17;0;0;0;0
83;4;3;84;20221004;105;7;70;3;2;55;3;2;2;1
84;0;3;85;20221004;0;0;0;0;0;0;0;0;0;0
85;2;3;86;20221004;6;3;4;0;0;9;0;0;4;2
86;3;3;87;20221004;17;4;11;1;1;22;3;2;5;3
87;1;3;88;20221004;12;1;8;0;0;19;4;1;2;2
88;0;3;89;20221004;0;0;0;0;0;0;0;0;0;0
89;2;3;90;20221004;21;4;14;4;4;30;0;0;15;5
90;0;3;91;20221004;0;0;0;0;0;0;1;1;0;0
91;0;3;92;20221004;0;0;0;0;0;0;1;1;0;0
92;0;3;93;20221004;1;1;1;5;2;0;0;0;0;0
93;0;3;94;20221004;0;0;0;0;0;0;0;0;0;0
94;0;3;95;20221004;0;0;0;0;0;0;0;0;0;0
95;0;3;96;20221004;0;0;0;0;0;0;0;0;0;0
96;0;3;97;20221004;0;0;0;0;0;0;0;0;0;0
97;0;3;98;20221004;0;0;0;3;1;0;0;0;0;0
98;0;3;99;20221004;0;0;0;0;0;0;3;1;0;0
99;2;3;100;20221004;10;3;7;1;1;10;3;2;0;0
100;0;3;101;20221004;0;0;0;1;1;0;0;0;0;0
101;1;3;102;20221004;4;2;3;0;0;7;0;0;0;0
102;0;3;103;20221004;1;1;0;2;1;0;0;0;0;0
103;0;3;104;20221004;0;0;0;0;0;0;1;1;0;0
104;0;3;105;20221004;0;0;0;0;0;0;0;0;0;0
105;0;3;106;20221004;0;0;0;0;0;0;0;0;0;0
106;1;3;107;20221004;8;2;5;2;2;7;1;1;1;1
107;0;3;108;20221004;0;0;0;0;0;0;3;1;0;0
108;0;3;109;20221004;0;0;0;0;0;0;0;0;0;0
109;0;3;110;20221004;1;1;0;0;0;0;0;0;0;0
110;2;3;111;20221004;16;3;10;0;0;16;15;5;0;0
111;3;3;112;20221004;20;4;13;2;1;22;3;2;2;2
112;5;3;113;20221004;69;7;46;1;1;89;5;4;10;3
113;0;3;114;20221004;0;0;0;2;1;0;0;0;0;0
114;0;3;115;20221004;0;0;0;0;0;0;1;1;0;0
115;0;3;116;20221004;2;1;1;0;0;4;0;0;2;2
116;4;3;117;20221004;22;6;15;12;5;22;2;2;0;0
117;0;3;118;20221004;0;0;0;0;0;0;0;0;0;0
118;2;3;119;20221004;19;4;13;0;0;37;0;0;11;4
119;5;3;120;20221004;51;7;34;0;0;66;4;4;11;5
120;0;3;121;20221004;0;0;0;0;0;0;0;0;0;0
121;3;3;122;20221004;17;4;11;1;1;16;1;1;0;0
122;0;3;123;20221004;6;0;4;16;4;6;1;1;3;1
123;0;3;124;20221004;1;1;0;2;1;0;0;0;0;0
124;2;3;125;20221004;5;3;3;0;0;4;1;1;0;0
125;0;3;126;20221004;0;0;0;0;0;0;1;1;0;0
126;0;3;127;20221004;0;0;0;0;0;0;2;2;0;0
127;0;3;128;20221004;0;0;0;0;0;0;0;0;0;0
128;0;3;129;20221004;1;0;0;0;0;1;0;0;0;0
129;0;3;130;20221004;0;0;0;0;0;0;2;1;0;0
130;0;3;131;20221004;0;0;0;0;0;0;0;0;0;0
131;0;3;132;20221004;0;0;0;1;1;0;0;0;0;0
132;1;3;133;20221004;1;1;1;1;1;0;0;0;0;0
133;0;3;134;20221004;0;0;0;0;0;0;0;0;0;0
134;0;3;135;20221004;0;0;0;0;0;0;0;0;0;0
135;0;3;136;20221004;0;0;0;0;0;0;0;0;0;0
136;1;3;137;20221004;2;1;1;0;0;0;0;0;0;0
137;2;3;138;20221004;7;3;4;0;0;10;0;0;0;0
138;0;3;139;20221004;0;0;0;0;0;0;0;0;0;0
139;0;3;140;20221004;0;0;0;0;0;0;0;0;0;0
140;0;3;141;20221004;0;0;0;0;0;0;0;0;0;0
