test;msisdn_H;msisdn;coupure;nb_hour_total_coupure;echec;paging_without_response_nb;nb_hour_paging_without_response;nb_hour_echec;nb_call_est;reiter_call_interval_nb;nb_hour_reiter_call;call_est_bad_setupduration_nb;nb_hour_call_est_bad_setupduration
3;1;20221004;1;1;1;3;2;0;1;0;0;0;0
3;2;20221004;12;2;8;0;0;1;16;0;0;4;3
3;3;20221004;0;0;0;0;0;0;0;0;0;0;0
3;4;20221004;22;4;14;4;1;3;21;3;2;6;4
3;5;20221004;38;6;25;4;1;4;59;0;0;5;3
3;6;20221004;4;2;2;0;0;1;3;8;5;0;0
3;7;20221004;3;1;2;6;4;1;2;0;0;0;0
3;8;20221004;0;0;0;0;0;0;0;2;2;0;0
3;9;20221004;16;6;10;2;1;4;20;1;1;0;0
3;10;20221004;0;0;0;0;0;0;0;1;1;0;0
3;11;20221004;13;4;9;11;7;2;20;3;1;2;2
3;12;20221004;12;6;8;0;0;4;7;0;0;0;0
3;13;20221004;16;5;10;0;0;3;19;0;0;1;1
3;14;20221004;10;4;7;1;1;3;13;1;1;0;0
3;15;20221004;5;3;3;0;0;2;8;0;0;0;0
3;16;20221004;0;0;0;0;0;0;0;0;0;0;0
3;17;20221004;5;2;3;1;1;1;8;1;1;0;0
3;18;20221004;0;0;0;0;0;0;0;0;0;0;0
3;19;20221004;0;0;0;0;0;0;0;0;0;0;0
3;20;20221004;3;1;2;1;1;1;2;0;0;0;0
3;21;20221004;2;1;1;0;0;1;1;1;1;0;0
3;22;20221004;3;1;2;0;0;1;4;0;0;0;0
3;23;20221004;0;0;0;0;0;0;0;2;2;0;0
3;24;20221004;6;3;4;0;0;2;4;0;0;0;0
3;25;20221004;0;0;0;1;1;0;0;0;0;0;0
3;26;20221004;0;0;0;0;0;0;0;1;1;0;0
3;27;20221004;0;0;0;5;4;0;1;0;0;0;0
3;28;20221004;3;1;2;1;1;1;0;0;0;0;0
3;29;20221004;0;0;0;1;1;0;0;0;0;0;0
3;30;20221004;6;3;4;1;1;2;8;0;0;1;1
3;31;20221004;0;0;0;0;0;0;0;0;0;0;0
3;32;20221004;2;1;1;2;2;1;0;0;0;0;0
3;33;20221004;0;0;0;0;0;0;0;3;2;0;0
3;34;20221004;3;3;2;0;0;2;1;0;0;0;0
3;35;20221004;0;0;0;0;0;0;0;0;0;0;0
3;36;20221004;3;1;2;0;0;1;0;0;0;0;0
3;37;20221004;0;0;0;0;0;0;0;0;0;0;0
3;38;20221004;1;1;1;0;0;0;1;1;1;0;0
3;39;20221004;6;0;4;0;0;0;7;0;0;0;0
3;40;20221004;0;0;0;0;0;0;0;0;0;0;0
3;41;20221004;1;0;0;0;0;0;0;0;0;0;0
3;42;20221004;0;0;0;0;0;0;0;0;0;0;0
3;43;20221004;4;3;2;4;2;2;4;0;0;2;2
3;44;20221004;0;0;0;0;0;0;0;0;0;0;0
3;45;20221004;4;1;2;0;0;0;5;1;1;0;0
3;46;20221004;12;6;8;0;0;4;12;0;0;3;3
3;47;20221004;0;0;0;2;2;0;1;0;0;0;0
3;48;20221004;0;0;0;0;0;0;0;0;0;0;0
3;49;20221004;4;3;3;0;0;2;5;5;3;0;0
3;50;20221004;9;4;6;0;0;3;5;1;1;0;0
3;51;20221004;0;0;0;0;0;0;0;0;0;0;0
3;52;20221004;0;0;0;0;0;0;0;1;1;0;0
3;53;20221004;3;1;2;1;1;0;0;0;0;0;0
3;54;20221004;0;0;0;0;0;0;0;0;0;0;0
3;55;20221004;2;1;1;3;2;0;0;0;0;0;0
3;56;20221004;2;1;1;4;3;0;3;1;1;1;1
3;57;20221004;7;3;5;2;2;2;13;2;2;1;1
3;58;20221004;3;1;2;0;0;0;3;2;1;0;0
3;59;20221004;0;0;0;0;0;0;0;0;0;0;0
3;60;20221004;0;0;0;0;0;0;0;0;0;0;0
3;61;20221004;10;4;6;0;0;2;7;0;0;1;1
3;62;20221004;11;4;7;1;1;2;9;1;1;1;1
3;63;20221004;0;0;0;0;0;0;0;0;0;0;0
3;64;20221004;16;4;11;12;5;2;16;0;0;5;2
3;65;20221004;4;2;3;3;3;1;5;0;0;0;0
3;66;20221004;3;1;2;2;2;0;4;0;0;1;1
3;67;20221004;0;0;0;0;0;0;0;1;1;0;0
3;68;20221004;0;0;0;0;0;0;0;0;0;0;0
3;69;20221004;0;0;0;0;0;0;0;0;0;0;0
3;70;20221004;0;0;0;0;0;0;1;1;1;0;0
3;71;20221004;0;0;0;0;0;0;0;0;0;0;0
3;72;20221004;0;0;0;0;0;0;0;2;1;0;0
3;73;20221004;0;0;0;0;0;0;0;0;0;0;0
3;74;20221004;0;0;0;0;0;0;0;0;0;0;0
3;75;20221004;0;0;0;1;1;0;0;0;0;0;0
3;76;20221004;0;0;0;0;0;0;0;0;0;0;0
3;77;20221004;0;0;0;0;0;0;0;2;1;0;0
3;78;20221004;1;0;1;0;0;0;0;0;0;0;0
3;79;20221004;0;0;0;0;0;0;0;2;2;0;0
3;80;20221004;1;1;1;2;2;1;1;1;1;0;0
3;81;20221004;1;1;1;0;0;0;0;1;1;0;0
3;82;20221004;17;4;11;1;1;3;20;0;0;4;2
3;83;20221004;15;5;10;2;2;3;17;0;0;0;0
3;84;20221004;105;7;70;3;2;4;55;3;2;2;1
3;85;20221004;0;0;0;0;0;0;0;0;0;0;0
3;86;20221004;6;3;4;0;0;2;9;0;0;4;2
3;87;20221004;17;4;11;1;1;3;22;3;2;5;3
3;88;20221004;12;1;8;0;0;1;19;4;1;2;2
3;89;20221004;0;0;0;0;0;0;0;0;0;0;0
3;90;20221004;21;4;14;4;4;2;30;0;0;15;5
3;91;20221004;0;0;0;0;0;0;0;1;1;0;0
3;92;20221004;0;0;0;0;0;0;0;1;1;0;0
3;93;20221004;1;1;1;5;2;0;0;0;0;0;0
3;94;20221004;0;0;0;0;0;0;0;0;0;0;0
3;95;20221004;0;0;0;0;0;0;0;0;0;0;0
3;96;20221004;0;0;0;0;0;0;0;0;0;0;0
3;97;20221004;0;0;0;0;0;0;0;0;0;0;0
3;98;20221004;0;0;0;3;1;0;0;0;0;0;0
3;99;20221004;0;0;0;0;0;0;0;3;1;0;0
3;100;20221004;10;3;7;1;1;2;10;3;2;0;0
3;101;20221004;0;0;0;1;1;0;0;0;0;0;0
3;102;20221004;4;2;3;0;0;1;7;0;0;0;0
3;103;20221004;1;1;0;2;1;0;0;0;0;0;0
3;104;20221004;0;0;0;0;0;0;0;1;1;0;0
3;105;20221004;0;0;0;0;0;0;0;0;0;0;0
3;106;20221004;0;0;0;0;0;0;0;0;0;0;0
3;107;20221004;8;2;5;2;2;1;7;1;1;1;1
3;108;20221004;0;0;0;0;0;0;0;3;1;0;0
3;109;20221004;0;0;0;0;0;0;0;0;0;0;0
3;110;20221004;1;1;0;0;0;0;0;0;0;0;0
3;111;20221004;16;3;10;0;0;2;16;15;5;0;0
3;112;20221004;20;4;13;2;1;3;22;3;2;2;2
3;113;20221004;69;7;46;1;1;5;89;5;4;10;3
3;114;20221004;0;0;0;2;1;0;0;0;0;0;0
3;115;20221004;0;0;0;0;0;0;0;1;1;0;0
3;116;20221004;2;1;1;0;0;0;4;0;0;2;2
3;117;20221004;22;6;15;12;5;4;22;2;2;0;0
3;118;20221004;0;0;0;0;0;0;0;0;0;0;0
3;119;20221004;19;4;13;0;0;2;37;0;0;11;4
3;120;20221004;51;7;34;0;0;5;66;4;4;11;5
3;121;20221004;0;0;0;0;0;0;0;0;0;0;0
3;122;20221004;17;4;11;1;1;3;16;1;1;0;0
3;123;20221004;6;0;4;16;4;0;6;1;1;3;1
3;124;20221004;1;1;0;2;1;0;0;0;0;0;0
3;125;20221004;5;3;3;0;0;2;4;1;1;0;0
3;126;20221004;0;0;0;0;0;0;0;1;1;0;0
3;127;20221004;0;0;0;0;0;0;0;2;2;0;0
3;128;20221004;0;0;0;0;0;0;0;0;0;0;0
3;129;20221004;1;0;0;0;0;0;1;0;0;0;0
3;130;20221004;0;0;0;0;0;0;0;2;1;0;0
3;131;20221004;0;0;0;0;0;0;0;0;0;0;0
3;132;20221004;0;0;0;1;1;0;0;0;0;0;0
3;133;20221004;1;1;1;1;1;1;0;0;0;0;0
3;134;20221004;0;0;0;0;0;0;0;0;0;0;0
3;135;20221004;0;0;0;0;0;0;0;0;0;0;0
3;136;20221004;0;0;0;0;0;0;0;0;0;0;0
3;137;20221004;2;1;1;0;0;1;0;0;0;0;0
3;138;20221004;7;3;4;0;0;2;10;0;0;0;0
3;139;20221004;0;0;0;0;0;0;0;0;0;0;0
3;140;20221004;0;0;0;0;0;0;0;0;0;0;0
3;141;20221004;0;0;0;0;0;0;0;0;0;0;0
3;142;20221004;0;0;0;0;0;0;0;0;0;0;0
3;143;20221004;0;0;0;0;0;0;0;0;0;0;0
3;144;20221004;0;0;0;1;1;0;0;0;0;0;0
